date,covid 19,corona,coronavirus,isPartial
2020-03-06,0,4,9,False
2020-03-07,0,4,8,False
2020-03-08,0,3,8,False
2020-03-09,0,4,10,False
2020-03-10,0,5,11,False
2020-03-11,1,8,16,False
2020-03-12,2,25,46,False
2020-03-13,2,36,58,False
2020-03-14,2,28,45,False
2020-03-15,2,28,46,False
2020-03-16,5,47,74,False
2020-03-17,6,58,89,False
2020-03-18,7,58,89,False
2020-03-19,8,59,96,False
2020-03-20,8,58,92,False
2020-03-21,10,60,100,False
2020-03-22,10,56,98,False
2020-03-23,9,46,82,False
2020-03-24,8,36,68,False
